dataset;column;timeseries;coltype;timeseries_agg
spender_postmortem_labor_crossmatch;igm_match_h;True;feature;latest
spender_postmortem_labor_crossmatch;match_dso_running_number;True;metadata;keep
spender_postmortem_labor_crossmatch;match_rank;True;metadata;keep
spender_postmortem_labor_crossmatch;match_running_id;True;feature;keep
spender_postmortem_labor_crossmatch;result;True;feature;latest
spender_postmortem_labor_crossmatch;result_date;True;metadata;keep
spender_postmortem_labor_crossmatch;t_cell_match;True;feature;latest
spender_postmortem_labor_crossmatch;t_cell_match_e;False;feature;
spender_postmortem_labor_crossmatch;t_cell_match_h;True;feature;latest
spender_postmortem_labor_crossmatch;target_region;True;metadata;keep
spender_postmortem_labor_hla;antigens;False;feature;
spender_postmortem_labor_hla;enter_date;False;metadata;
spender_postmortem_labor_hla;sampling_tissue_imprecise;False;metadata;
spender_postmortem_labor_hla;sso_ssp;False;feature;
spender_postmortem_labor_klinische_chemie;alanine_transaminase_u_per_l;True;feature;latest
spender_postmortem_labor_klinische_chemie;albumin_g_per_l;True;feature;latest
spender_postmortem_labor_klinische_chemie;alkaline_phosphatase_u_per_l;True;feature;latest
spender_postmortem_labor_klinische_chemie;amylase_u_per_l;True;feature;latest
spender_postmortem_labor_klinische_chemie;antithrombin_3_percent;True;feature;latest
spender_postmortem_labor_klinische_chemie;bilirubin_all_umol_per_l;True;feature;latest
spender_postmortem_labor_klinische_chemie;bilirubin_direct_umol_per_l;True;feature;latest
spender_postmortem_labor_klinische_chemie;c_reactive_protein_mg_per_l;True;feature;latest
spender_postmortem_labor_klinische_chemie;calcium_mmol_per_l;True;feature;latest
spender_postmortem_labor_klinische_chemie;chloride_mmol_per_l;True;feature;latest
spender_postmortem_labor_klinische_chemie;cholinesterase_u_per_l;True;feature;latest
spender_postmortem_labor_klinische_chemie;communicated_date;True;metadata;latest
spender_postmortem_labor_klinische_chemie;creatinine_clearance_ml_per_min;True;feature;latest
spender_postmortem_labor_klinische_chemie;creatinine_umol_per_l;True;feature;latest
spender_postmortem_labor_klinische_chemie;creatine_kinase_mb_u_per_l;True;feature;latest
spender_postmortem_labor_klinische_chemie;creatine_kinase_u_per_l;True;feature;latest
spender_postmortem_labor_klinische_chemie;erythrocytes_t_per_l;True;feature;latest
spender_postmortem_labor_klinische_chemie;examination_date;True;metadata;latest
spender_postmortem_labor_klinische_chemie;fibrinogen_g_per_l;True;feature;latest
spender_postmortem_labor_klinische_chemie;gamma_glutamyltransferase_u_per_l;True;feature;latest
spender_postmortem_labor_klinische_chemie;glucose_mmol_per_l;True;feature;latest
spender_postmortem_labor_klinische_chemie;glutamate_dehydrogenase_u_per_l;True;feature;latest
spender_postmortem_labor_klinische_chemie;glutamic_oxaloacetic_transaminase_u_per_l;True;feature;latest
spender_postmortem_labor_klinische_chemie;glycated_hemoglobin_percent;True;feature;latest
spender_postmortem_labor_klinische_chemie;hematocrit_percent;True;feature;latest
spender_postmortem_labor_klinische_chemie;hemoglobin_g_per_dl;True;feature;latest
spender_postmortem_labor_klinische_chemie;international_normalized_ratio;True;feature;latest
spender_postmortem_labor_klinische_chemie;lactate_dehydrogenase_u_per_l;True;feature;latest
spender_postmortem_labor_klinische_chemie;lactate_mmol_per_l;True;feature;latest
spender_postmortem_labor_klinische_chemie;leukocytes_g_per_l;True;feature;latest
spender_postmortem_labor_klinische_chemie;lipase_u_per_l;True;feature;latest
spender_postmortem_labor_klinische_chemie;partial_thromboplastin_time_sec;True;feature;latest
spender_postmortem_labor_klinische_chemie;phosphate_mmol_per_l;True;feature;latest
spender_postmortem_labor_klinische_chemie;potassium_mmol_per_l;True;feature;latest
spender_postmortem_labor_klinische_chemie;procalcitonin_ng_per_ml;True;feature;latest
spender_postmortem_labor_klinische_chemie;prothrombin_time_sec;True;feature;latest
spender_postmortem_labor_klinische_chemie;quick_percent;True;feature;latest
spender_postmortem_labor_klinische_chemie;result_date;True;metadata;latest
spender_postmortem_labor_klinische_chemie;sampling_date;True;metadata;latest
spender_postmortem_labor_klinische_chemie;sodium_mmol_per_l;True;feature;latest
spender_postmortem_labor_klinische_chemie;thrombocytes_g_per_l;True;feature;latest
spender_postmortem_labor_klinische_chemie;tissue;True;metadata;latest
spender_postmortem_labor_klinische_chemie;total_protein_g_per_l;True;feature;latest
spender_postmortem_labor_klinische_chemie;troponin_1_ug_per_l;True;feature;latest
spender_postmortem_labor_klinische_chemie;troponin_t_ug_per_l;True;feature;latest
spender_postmortem_labor_klinische_chemie;troponin_ug_per_l;True;feature;latest
spender_postmortem_labor_klinische_chemie;urea_mmol_per_l;True;feature;latest
spender_postmortem_labor_mikrobiologie;ab_resistant;True;feature;latest
spender_postmortem_labor_mikrobiologie;communicated_date;True;metadata;latest
spender_postmortem_labor_mikrobiologie;exam_type;True;metadata;latest
spender_postmortem_labor_mikrobiologie;examination_date;True;metadata;latest
